Name,Slug,Collection ID,Locale ID,Item ID,Created On,Updated On,Published On,Type,Date,Number of the Month,Number of the Day,Number of the Year,Offset,Link to the Webflow update node,Special icon,Notes
3 larger breakpoints,3-larger-breakpoints,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671ee4,Mon Apr 13 2020 23:02:42 GMT+0000 (Coordinated Universal Time),Mon Apr 13 2020 23:03:58 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Thu Apr 09 2020 00:00:00 GMT+0000 (Coordinated Universal Time),4,9,2020,7,https://webflow.com/blog/3-new-larger-breakpoints-in-webflow,,"Customize your designs for larger screens with 3 new device breakpoints at 1280px, 1440px, and 1920px."
Symbol Content Overrides,symbol-content-overrides,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fbf,Fri Mar 27 2020 12:21:07 GMT+0000 (Coordinated Universal Time),Fri Mar 27 2020 12:21:07 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),major-feature,Fri Mar 20 2020 00:00:00 GMT+0000 (Coordinated Universal Time),3,20,2020,6,https://webflow.com/blog/content-overrides-for-symbols,,
"""OR"" Collection filtering",or-collection-filtering,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f9f,Fri Mar 27 2020 12:08:47 GMT+0000 (Coordinated Universal Time),Fri Mar 27 2020 12:21:30 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Tue Mar 10 2020 00:00:00 GMT+0000 (Coordinated Universal Time),3,10,2020,5,https://webflow.com/feature/create-better-browsing-experiences-with-enhanced-collection-filtering?utm_source=in-app-update&utm_medium=update&utm_campaign=or-filtering-and-more,,
#nocode Conference,nocode-conference,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f3c,Mon Mar 02 2020 14:30:04 GMT+0000 (Coordinated Universal Time),Mon Mar 02 2020 14:30:04 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),event,Wed Nov 18 2020 00:00:00 GMT+0000 (Coordinated Universal Time),11,18,2020,3,https://twitter.com/NoCodeConf/status/1230633954387976192,,
Ecomm. Email mgmt,ecomm-email-mgmt,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671faa,Fri Feb 21 2020 12:22:52 GMT+0000 (Coordinated Universal Time),Fri Feb 21 2020 12:23:15 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Thu Feb 20 2020 00:00:00 GMT+0000 (Coordinated Universal Time),2,20,2020,4,https://webflow.com/feature/better-manage-ecommerce-emails?utm_source=in-app-update&utm_medium=update&utm_campaign=enhanced-email-mgmt-ecomm,,Manage emails for your Ecommerce customers and team.
Prebuilt layouts,prebuilt-layouts,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fac,Fri Feb 21 2020 12:21:41 GMT+0000 (Coordinated Universal Time),Fri Feb 21 2020 12:21:53 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),remarkable-feature,Fri Feb 07 2020 00:00:00 GMT+0000 (Coordinated Universal Time),2,7,2020,3,https://webflow.com/feature/build-faster-with-prebuilt-layouts?utm_source=in-app-update&utm_medium=SYBG&utm_campaign=prebuilt-layouts,,Build faster with prebuilt layouts
Object-position support,object-position-support,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671fd4,Fri Feb 21 2020 12:20:26 GMT+0000 (Coordinated Universal Time),Fri Feb 21 2020 12:20:26 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Fri Jan 24 2020 00:00:00 GMT+0000 (Coordinated Universal Time),1,24,2020,2,https://webflow.com/feature/control-image-positioning-with-object-position?utm_source=in-app-update&utm_medium=SYBG&utm_campaign=object-position,,Control image positioning with object-position.
Object-fit support,object-fit-support,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f672034,Fri Feb 21 2020 12:19:09 GMT+0000 (Coordinated Universal Time),Fri Feb 21 2020 12:19:09 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Fri Dec 20 2019 00:00:00 GMT+0000 (Coordinated Universal Time),12,20,2019,1,https://webflow.com/feature/object-fit-support?utm_source=in-app-update&utm_medium=SYBG&utm_campaign=object-fit,,Control image resizing within elements using object-fit.
No Shipping Checkout,no-shipping-checkout,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f672030,Fri Feb 21 2020 12:18:06 GMT+0000 (Coordinated Universal Time),Fri Feb 21 2020 12:18:06 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),light-feature,Thu Dec 12 2019 00:00:00 GMT+0000 (Coordinated Universal Time),12,12,2019,,https://webflow.com/feature/orders-that-dont-require-shipping?utm_source=in-app-update&utm_medium=SYBG&utm_campaign=orders-wthout-shipping,,Simplify checkout for orders that don’t need shipping.
Canvas zoom,canvas-zoom,66b30b0082f3bdff5f671e71,66b30b0082f3bdff5f671e2a,66b30b0082f3bdff5f671f8a,Fri Feb 21 2020 12:16:03 GMT+0000 (Coordinated Universal Time),Fri Feb 21 2020 12:16:03 GMT+0000 (Coordinated Universal Time),Fri Aug 07 2020 18:31:53 GMT+0000 (Coordinated Universal Time),feature,Mon Dec 02 2019 00:00:00 GMT+0000 (Coordinated Universal Time),12,2,2019,4,https://webflow.com/feature/resize-the-designer-canvas-to-preview-site-on-larger-screens?utm_source=in-app-update&utm_medium=SYBG&utm_campaign=canvas-resizing,,Resize the Designer canvas to preview site on larger screens.
